1@千万不要放弃@[同学们千万不要放弃——曹爷]@2013-11-30 9:32:20@STUDENT
2@下周考试大家加油@[加油]@2013-11-30 9:32:47@STUDENT
3@选课通知@[请大一学生开始选课]@2013-11-30 9:33:05@STUDENT
4@上传教学计划@[请在规定时间之前上传]@2013-11-30 9:33:33@INSJW
5@请发布课程@[发布课程]@2013-11-30 9:33:46@TEACHER
6@修改密码@[修改密码]@2013-11-30 9:33:55@ALL
7@大家注意@[系统维护]@2013-11-30 9:34:11@ALL
8@学期开始@[系统维护]@2013-11-30 9:34:20@ALL
9@学期结束@[系统维护]@2013-11-30 9:34:26@ALL
10@学业水平测试@[系统维护]@2013-11-30 9:34:34@STUDENT
11@期中考试@[系统维护]@2013-11-30 9:34:41@STUDENT
<<<<<<< HEAD
2@title@[testcontent]@2013-12-18 0:52:59@ALL
2@title@[testcontent]@2013-12-18 1:01:31@ALL
3@title@[testcontent]@2013-12-18 1:14:13@ALL
1@title@[testcontent]@2013-12-18 1:20:34@ALL
=======
1@title@[testcontent]@2013-12-8 3:05:33@ALL
3@title@[testcontent]@2013-12-8 3:07:48@ALL
1@title@[testcontent]@2013-12-8 3:08:31@ALL
3@title@[testcontent]@2013-12-9 23:26:20@ALL
2@title@[testcontent]@2013-12-9 23:30:47@ALL
1@title@[testcontent]@2013-12-9 23:32:46@ALL
3@title@[testcontent]@2013-12-9 23:36:20@ALL
>>>>>>> 08f35c90c67de8a6ee8ad34b5943ed44729a30fd
